row,name,category,pattern_matched
437,Yogurt Coated Cranberries,Imbiss,\bImbiss\b
2768,4 Pains Au Chocolate,"Imbiss, Kekse und Kuchen",\bImbiss\b
2842,Soreen Malt Loaf,"Imbiss, Kekse und Kuchen",\bImbiss\b
3524,Roxakia In Sirup,"Imbiss, Kekse und Kuchen",\bImbiss\b
5845,Dairy Milk Marvellous Creations Jelly Popping Candy Shells,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
6166,Pick Up! Choco&Milk,"Imbiss, Kekse und Kuchen",\bImbiss\b
6169,Milka Chocolate Hazelnuts,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
10044,Sour Cream & Black Pepper Flavour Pea & Bean Sticks,"Imbiss, Salzige Snacks",\bImbiss\b
10762,Cookies No Cream Oat M!lk Chocolate,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
15192,Nutty Choc Balls,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
15385,Supervalu Milk Chocolate Digestives (300 Grams),"Imbiss, Kekse und Kuchen",\bImbiss\b
15584,Dairy Milk Marvellous Smashables Jelly Popping Candy,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
15702,Pöti,"Atıştırmalıklar, en:Sweet snacks",\bKakao\b
17333,Weiße Schokolade,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
19164,Harvest Snaps Sour Cream & Chive,"Imbiss, Salzige Snacks",\bImbiss\b
19397,Quinoa Chips,"Imbiss, Salzige Snacks",\bImbiss\b
20232,Sweet Cinnamon Popcorn,"Imbiss, Popcorn",\bImbiss\b
20248,Gummy Bears,"Imbiss, Bonbons",\bImbiss\b
20373,Indulgent Chocolate Cake,"Imbiss, Kekse und Kuchen",\bImbiss\b
20820,Chocomel,,\bKakao\b
22383,Whey Protein Hazelnuss Kakao,Whey protein,\bKakao\b
22640,Clif Bar Crunchy Peanut Butter,Imbiss,\bImbiss\b
22656,Takis Dragon Sweet Chilli,"Imbiss, Salzige Snacks",\bImbiss\b
22800,Haribo Halloween-mix,"Imbiss, Bonbons",\bImbiss\b
22805,Nüssli Mix Mit Cranberries In Weißer Schokolade,,\bSchokolade\b
23102,Mozart Kugeln,"kakao-und-kakaoprodukte, mozart-kugeln",\bKakao\b
23103,Protein Cake Bar-pistachio,,\bKakao\b
23369,Reflex Vegan Protein 2.1kg Reiche Schokolade,,\bSchokolade\b
23425,"Protein Waffeln Wafers, Schokolade",,\bSchokolade\b
23896,Moomin Biscuits,"Imbiss, Kekse und Kuchen",\bImbiss\b
24104,Chocolate Brownies Vegan,"de:imbiss, de:kekse-und-kuchen",\bImbiss\b
24128,Nougat Tart,,\bKakao\b
24181,Vegan Mild Hazelnut Chocolate,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
26528,Kinder Surprise,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
26792,Dark Chocolate Ginger Cocoa,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
27391,Fibre 1 Brownies Chocolateey Fudge,"Imbiss, Kekse und Kuchen",\bImbiss\b
27567,Builders Protein,"Imbiss, Riegel",\bImbiss\b
27737,Rosinen,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
28434,Snickers Protein,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
29134,Almond Cinnamon Chocolate,"Slatki zalogaji, Kakao i njegovi proizvo",\bKakao\b
29615,Wafer Renyah Tango Rasa Coklat,"Snacks, Sweet snacks",\bKakao\b
29642,Matre Truffout Fein Schmelzende Bitter Schokolade,"Snacks, Snacks sucrés",\bSchokolade\b
31401,Weisse Kokos & Flakes,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
31642,Prekrasni,"Imbiss, Kekse und Kuchen",\bImbiss\b
31685,Magdalenas - Zitrone,"Imbiss, Kekse und Kuchen",\bImbiss\b
31688,Unsere Besten Praliné Composition,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
31792,12 Macarons,"Imbiss, Desserts",\bImbiss\b
33414,Vegan Topic Whole Hazelnut,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
33534,Cookie Dough Chocolate Wonders,,\bSchokolade\b
34444,Cookies Biscuits,"Imbiss, Kekse und Kuchen",\bImbiss\b
34633,Baked Squeezed Pretzels - Tomatos & Herbs,"Imbiss, Salzige Snacks",\bImbiss\b
34716,Smak* Sjokolademosse,"Dairies, Desserts",\bKakao\b
34721,Coop Sjokoladekake Form,,\bKakao\b
34725,Tyske Skiver,"Snacks, Sweet snacks",\bKakao\b
34744,Tortilla Strips Sweet Chili,"Imbiss, Salzige Snacks",\bImbiss\b
34779,Wiener Waffel,"Imbiss, Kekse und Kuchen",\bImbiss\b
35118,Wellness Kakao I Malina,"Snacks, Sweet snacks",\bKakao\b
35139,%80 Bitter Çikolata,"Atıştırmalıklar, en:Sweet snacks",\bKakao\b
35364,Haldiram's Boondi Masala,"Imbiss, Salzige Snacks",\bImbiss\b
35435,Choco Banane Milk Snack,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
37518,Chocolate Pur Noir,"Snacks, Snacks sucrés",\bKakao\b
37817,Raspberry Crisps,"Imbiss, Riegel",\bImbiss\b
40830,Dominos Dark Chocolate,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
40856,Muffins,"Imbiss, Kekse und Kuchen",\bImbiss\b
41106,Kitkat Chunky Single Pack,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
41140,Vegan Chocolate Matcha Citron,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
41171,Vegane Schokolade,"Snacks, Sweet snacks",\bSchokolade\b
41177,Chocolate Hazelnut,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
41191,Raspel Schokolade,"Snacks, Sweet snacks",\bSchokolade\b
41193,Hello,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
41259,Nimm2 Lachgummi Heroes,"imbiss, kakao-und-kakaoprodukte",\bImbiss\b
41268,Erbsen Snack,"imbiss, salzige-snacks",\bImbiss\b
41315,Vegan Protein Bar Cookies & Cream Geschmack,"Imbiss, Riegel",\bImbiss\b
41596,Premium Cookies Hazelnut Creme Et Chocolate,"Imbiss, Kekse und Kuchen",\bImbiss\b
41619,Vego Dark Nuts & Berries,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
41623,WHEY Protein Schokolade,"Dairies, Milks",\bSchokolade\b
41627,Foodspring Whey Protein Schokolade,"it:proteine animali in polvere, en:prote",\bSchokolade\b
42112,Hummus Chips Creamy Dill,"Imbiss, Salzige Snacks",\bImbiss\b
42246,"Pulsebar, Schokolade-orange",,\bSchokolade\b
42839,Tuc Original,"Imbiss, Salzige Snacks",\bImbiss\b
42976,Økologisk SOYA DRIK Kakao,"Plant-based foods and beverages, Beverag",\bKakao\b
43407,"Wernli JURA Waffeln Original, Schokolade","Snacks, Sweet snacks",\bSchokolade\b
43422,Stella Sugarless Schokolade Bitter 100 G,"Snacks, Snacks sucrés",\bSchokolade\b
43460,Smarties Mini,"imbiss, kakao-und-kakaoprodukte",\bImbiss\b
43498,"Tourist Crémant - Dunkle Schokolade Mit Weinbeeren, Haselnüs","Snacks, Sweet snacks",\bSchokolade\b
43546,"Süßes, Happy Birthday Pralines","Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
43573,Mikado Zartherbe Schokolade,"Snacks, Sweet snacks",\bSchokolade\b
43724,Frollini Al Cocco,"Snack, Snack dolci",\bMilch\b
43928,New Bar Tvaroh A Kakao,"Svačiny, Sladké svačiny",\bKakao\b
43954,Cool & Zero,"Imbiss, Desserts",\bImbiss\b
43975,Golden Pistachio Chocolate,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
44117,Barkleys,"Imbiss, en:GB Candy with sp",\bImbiss\b
46703,Organic Biscuits Vanilla,"Imbiss, Kekse und Kuchen",\bImbiss\b
47808,"Pecan, Hazelnut & Cocoa Keto Nut Bar","Imbiss, Riegel",\bImbiss\b
53615,Chocolate Chip Granola Bar,"Imbiss, Riegel",\bImbiss\b
56819,Milk Chocolate Nut,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
56840,Pizzateig,"Imbiss, Brotaufstriche",\bImbiss\b
56951,Danone Danette Mousse Liégeoise Schokolade 2x(2x80g),"Produits laitiers, Desserts",\bSchokolade\b
56979,Chocolate Noisettes,"Snacks, Snacks sucrés",\bKakao\b
57069,Roo'bar Coconut,Imbiss,\bImbiss\b
57072,Almond Butter Cup,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
57113,Duo Keks Kakao,"Snacks, Sweet snacks",\bKakao\b
57132,Rice Choco Vegane Helle Schokolade,"Snacks, Sweet snacks",\bSchokolade\b
57139,Kinder Weihnachtsmann,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
57218,Choco Love,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
57472,Nu+ Cao Almond Sea Salt,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
57861,Sauce Dessert,de:sauce schokolade,\bSchokolade\b
58019,Molto Way Me Mbushje Kakao,"Snacks, Snacks sucrés",\bKakao\b
58159,Konditorwaffeln,"Imbiss, Kekse und Kuchen",\bImbiss\b
58615,Aero,Imbiss,\bImbiss\b
58644,Toblerone Weiße Schokolade Mit Honig & Mandelnougat,"Snacks, Sweet snacks",\bSchokolade\b
58831,Cacao Crudo,,\bKakao\b
59469,Caffino,"coffee drink, drink",\bKakao\b
60934,Lindor Dark Kugeln,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
60935,Lindor Extra Dunkel,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
60936,Rosa Pfeffer,"Imbiss, Kakao und Kakaoprodukte",\bImbiss\b
60938,Haribo Berries,"Imbiss, Bonbons",\bImbiss\b
60946,Schokolade Zum Backen 70 %,"Snacks, Sweet snacks",\bSchokolade\b
62610,Vegane Schokolade Kakao,Keto Schokolade,\bSchokolade\b
64286,Bastoncini Salati,"Imbiss, Salzige Snacks",\bImbiss\b
64336,Doppelkeks Kurpfalzrolle,"de:imbiss, de:kekse",\bImbiss\b
64393,Kakao,"Kakao und Kakaoprodukte, Kakao- und Scho",\bKakao\b
64398,Faire Schokolade Nougat,"Snacks, Sweet snacks",\bSchokolade\b
66347,Kakao,"Produits de la mer, Poissons",\bKakao\b
66466,Erdnuss Protein Riegel,"Imbiss, Riegel",\bImbiss\b
66471,"ALDI FAIR Rohrzucker, Fairtrade Fein Dauertiefpreis 1.49€ 50",Zucker,\bZucker\b
66603,Caster Baking Sugar,Zucker,\bZucker\b
