row,name,issue,sample_ingredients
19,Freefrom Haddock Fishcakes,Fish product name but sweet/dessert ingredients,"sugar, butter (milk), wheatflour (contains gluten) (with wheatflour, calcium carbonate, iron, niacin"
11691,Vegetarian Ravioli,Vegetarian product contains: ham,"durham wheat semolina, egg, tomato puree, tomatoes, sugar, spices"
21850,Vegetarian Spaghetti Bolognese,Vegetarian product contains: ham,"durham wheat semolina, tomatoes, tomato puree, soya mince, onion, yeast extract"
22802,Ristorante Pizza Al Salame Vegano,Vegetarian product contains: sausage,"wheat flour, 15% tomato purée, 13% grated pizza topping based on coconut oil (water, modified potato"
24534,Plant-based Party Pack,Vegetarian product contains: sausage,"sausage rolls ingredients: water, wheat flour (gluten), wheat gluten, cooked red kidney beans, marga"
27018,Freaky Fish,Fish product name but sweet/dessert ingredients,"glucose syrup, sugar, starch, acid: citric acid, flavouring, fruit and plant concentrates: aronia, b"
33960,The Vegan Margherita,Vegetarian product contains: ham,"flour blend (corn starch, inulin, hypromellose, guar gum, psyllium, rice, maize, buckwheat, potato s"
36439,"Banquet Fish Sticks Meal, 7.3 OZ",Fish product name but sweet/dessert ingredients,"macaroni and cheese sauce: cooked enriched macaroni (water, enriched macaroni [durum wheat semolina,"
36610,Seafood Cocktail Sauce,Fish product name but sweet/dessert ingredients,"crushed tomatoes (may contain salt and citric acid), horseradish (fresh ground horseradish, vinegar,"
36612,Seafood Cocktail Sauce,Fish product name but sweet/dessert ingredients,"crushed tomatoes (may contain salt and citric acid), horseradish (horseradish, vinegar, salt, and fl"
37818,"All In One Vegan Life Premium (3,2666 G = Daily Do",Vegetarian product contains: ham,"red algae powder (lithothamnion calcareum), magnesium bisglycinate, capsule shell: hydroxypropyl met"
37952,Plant-based Protein,Vegetarian product contains: ham,"plant protein blend (88%) (pea protein isolate, brown rice protein, organic pumpkin protein), [cacao"
42173,Plant-based Protein,Vegetarian product contains: ham,"pea protein isolate, brown rice protein, pumpkin protein, cocoa powder, natural flavourings, cellulo"
43109,Vegan Zelki,Vegetarian product contains: ham,"vege gummies. lemon, orange, peach, strawberries and apple flavoured gummies with no gelatin. ingred"
43615,Biscotti Vegan Tè Verde,Vegetarian product contains: ham,"wheat flour, *whole barley flour, *cane sugar, *sunflower oil, *wheat glucose-fructose syrup, *rice "
43887,Chocodays,Fish product name but sweet/dessert ingredients,"whole wheat flour (31%) (gluten), chocolate powder* (24%) (sugar, cocoa), wheat flour (gluten), grit"
53802,"Forttuna Foods, Elf Headband & Milk Chocolate",Fish product name but sweet/dessert ingredients,"milk chocolate (sugar, palm oil, palm kernel oil, whey powder, cocoa mass, cocoa butter, whole milk "
55290,You're A Keeper! Semi-solid Milk Chocolate Fish,Fish product name but sweet/dessert ingredients,"milk chocolate (sugar, cocoa butter, whole milk powder, chocolate liquor, soy lecithin (emulsifier),"
55295,You're A Keeper Semi-solid Milk Chocolate Fish,Fish product name but sweet/dessert ingredients,"milk chocolate (sugar, cocoa butter, whole milk powder, chocolate liquor (processed with alkali), so"
55296,Semi-solid Milk Chocolate Fish,Fish product name but sweet/dessert ingredients,"milk chocolate (sugar, cocoa butter, whole milk powder, chocolate liquor, soy lecithin (an emulsifie"
55972,"Vivra Chocolate, Handmade Artisan Chocolate Bar, C",Fish product name but sweet/dessert ingredients,"premium dark chocolate (65% cacao mass, sugar, cocoa butter, soy lecithin-an emulsifier, natural van"
58954,Sour Blackberry Fish,Fish product name but sweet/dessert ingredients,"sugar, invert sugar syrup, wa - ter, glucose syrup, corn starch, citric acid, tar - taric acid, blac"
62482,Chocolate Baby Coho Salmon,Fish product name but sweet/dessert ingredients,milk or semi-sweet chocolate with added lecithin (an emulsifier) and pure vanilla. white satin also 
62649,Chocodate Assorted,Fish product name but sweet/dessert ingredients,"dates, milk chocolate (sugar, cocoa butter, whole milk powder (cow's milk), cocoa mass, skimmed milk"
65866,Milk Chocolate Strawberry Marshmallow Fish,Fish product name but sweet/dessert ingredients,"glucose, sugar, water, invert syrup, gelatine, natural colour, natural strawberry flavour, milk choc"
