row,name,issue
19,Freefrom Haddock Fishcakes,[mismatch] MISMATCH: Fish name but dessert ingredients
596,Chocolate Celebration Cake,[barcode] WARNING: Barcode too long (22 digits): 91000000047187900019...
597,Seven Seeds Sensations,[barcode] WARNING: Barcode too long (22 digits): 91501000306476800009...
19,Freefrom Haddock Fishcakes,[mismatch] MISMATCH: Fish name but dessert ingredients
596,Chocolate Celebration Cake,[barcode] WARNING: Barcode too long (22 digits): 91000000047187900019...
597,Seven Seeds Sensations,[barcode] WARNING: Barcode too long (22 digits): 91501000306476800009...
5896,Seafood Sticks,[barcode] WARNING: Barcode too long (22 digits): 91000000109712200008...
5897,Chicken Jambalaya,[barcode] WARNING: Barcode too long (22 digits): 91000000182300400027...
5903,Millionaire's Shortcake Sundae,[barcode] WARNING: Barcode too long (24 digits): 97150542680749020000...
9116,6 Wholemeal Batch Rolls,[barcode] WARNING: Barcode too long (24 digits): 97150001193049406000...
9507,2 Handstretched Flatbreads,[barcode] WARNING: Barcode too long (20 digits): 10500016959904400129...
9578,6 Toastie Crumpets,[barcode] WARNING: Barcode too long (26 digits): 33050547814984760008...
10665,5060220402522,[name] WARNING: Name is barcode: 5060220402522
11065,Made Without Wheat Gluten Free Steak Pie,[barcode] WARNING: Barcode too long (21 digits): 82100094634004250025...
11195,Naked Unsmoked Bacon,[barcode] WARNING: Barcode too long (22 digits): 91506005525213200021...
12082,Rye & Wheat Dark Sourdough Bread,[barcode] WARNING: Barcode too long (20 digits): 10500016941075200179...
12083,Brillat Savarin,[barcode] WARNING: Barcode too long (20 digits): 10500016961732800435...
15767,Sainsbury's Stonebaked Thin Vegetable Antipasti Pi,[barcode] WARNING: Barcode too long (22 digits): 91000000039755100013...
15768,Sicilian Lemon Muffins,[barcode] WARNING: Barcode too long (22 digits): 91000000114443700008...
17253,Outdoor Bred Pork Sausage Rolls,[barcode] WARNING: Barcode too long (20 digits): 10500016938604000279...
21592,Oreo Donuts,[barcode] WARNING: Barcode too long (22 digits): 91000000113928000006...
21593,Bio&Me Mango,[barcode] WARNING: Barcode too long (22 digits): 91506085364002500011...
22381,Falafel And Houmous,[barcode] WARNING: Barcode too long (24 digits): 97100000032975370002...
22704,Meet Free Mince,[barcode] WARNING: Barcode too long (24 digits): 15057624245626003500...
24137,8690504113249,[name] WARNING: Name is barcode: 8690504113249
24248,8901491002486,[name] WARNING: Name is barcode: 8901491002486
24281,8901725015015,[name] WARNING: Name is barcode: 8901725015015
24345,8908010213095,[name] WARNING: Name is barcode: 8908010213095
25382,Baked Oat And Raisin Cookies,[barcode] WARNING: Barcode too long (25 digits): 50001289960206990000...
26729,Prime Cuts Roast Chicken,[barcode] WARNING: Barcode too long (24 digits): 97150529108059284000...
26730,Tesco Fire Pit Ultimate Burger Buns,[barcode] WARNING: Barcode too long (24 digits): 97150579674627110000...
27018,Freaky Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
27212,Dark Praline Belgian Chocolate,[barcode] WARNING: Barcode too long (16 digits): 8198704007000499...
29571,8908002984491,[name] WARNING: Name is barcode: 8908002984491
29647,Kefir Strawberry Fermented Yogurt,[barcode] WARNING: Barcode too long (22 digits): 91503658925241200015...
31308,4 Katsu Curry Vegetable Steamed Buns,[barcode] WARNING: Barcode too long (20 digits): 10500016965473600129...
31309,Chicken And Mushroom Pie,[barcode] WARNING: Barcode too long (20 digits): 10503366521612200363...
35436,Tomato & Basil Soup,[barcode] WARNING: Barcode too long (22 digits): 91506004537038900015...
35437,Plant Based Burger,[barcode] WARNING: Barcode too long (22 digits): 91761328777078300010...
36439,"Banquet Fish Sticks Meal, 7.3 OZ",[mismatch] MISMATCH: Fish name but dessert ingredients
40792,Aubergine & Feta Burgers,[barcode] WARNING: Barcode too long (20 digits): 10500016930146300105...
41439,4062139008803,[name] WARNING: Name is barcode: 4062139008803
43760,Shanghai Beef Noodles,[barcode] WARNING: Barcode too long (21 digits): 82100263931002190015...
43887,Chocodays,[mismatch] MISMATCH: Fish name but dessert ingredients
44570,Chocolate Oat Milk,[barcode] WARNING: Barcode too long (15 digits): 899724060117871...
47618,Vivera Plant Mince,[barcode] WARNING: Barcode too long (22 digits): 91871830087047700017...
47634,Cocoa Supreme Dark Chocolate Bar,[barcode] WARNING: Barcode too long (24 digits): 97130469200297596000...
53802,"Forttuna Foods, Elf Headband & Milk Chocolate",[mismatch] MISMATCH: Fish name but dessert ingredients
55290,You're A Keeper! Semi-solid Milk Chocolate Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
55295,You're A Keeper Semi-solid Milk Chocolate Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
55296,Semi-solid Milk Chocolate Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
55972,"Vivra Chocolate, Handmade Artisan Chocolate Bar, C",[mismatch] MISMATCH: Fish name but dessert ingredients
56798,Sanders Milk Chocolate Sea Salt Caramel Pecan Clus,[barcode] WARNING: Barcode too long (18 digits): 128510697454800599...
58518,Hyderabadi Mutton Shami Kebab,[barcode] WARNING: Barcode too long (17 digits): 70020600146130321...
58846,"M & S Food, Viva Summer",[barcode] WARNING: Barcode too long (21 digits): 82229413041005250020...
58847,"Culver's, Crinkle Cut Fries, Regular",[barcode] WARNING: Barcode too long (16 digits): 8342443032757419...
58954,Sour Blackberry Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
59168,"Natural-cut Fries, Medium",[barcode] WARNING: Barcode too long (18 digits): 884555243705182015...
59512,Higgidy Porcini Mushroom & Spinach Vegan Quiche,[barcode] WARNING: Barcode too long (22 digits): 91506013625108500018...
60908,Toasted Sesame Oil,[barcode] WARNING: Barcode too long (16 digits): 3713154017991118...
62482,Chocolate Baby Coho Salmon,[mismatch] MISMATCH: Fish name but dessert ingredients
62649,Chocodate Assorted,[mismatch] MISMATCH: Fish name but dessert ingredients
65866,Milk Chocolate Strawberry Marshmallow Fish,[mismatch] MISMATCH: Fish name but dessert ingredients
65999,8906002006601,[name] WARNING: Name is barcode: 8906002006601
