id,name,brand,processed_date,method,status,ingredients,serving_size,energy_kcal_100g,fat_100g,carbs_100g,sugar_100g,protein_100g,salt_100g,saturated_fat_100g,fiber_100g,sodium_100g
6,Sea Bass,ASDA,2025-09-11T11:29:03.623470,google,success,,100g,,,,,,,,,
7,Cauliflower,"Sainsbury'S's, By Sainsbury'S's",2025-09-11T11:29:07.800359,google,success,,100g,,,,,,,,,
8,White Flute,,2025-09-11T11:29:09.703802,google,success,,100g,,,,,,,,,
10,Star Pasta,Sainsbury'S's’S,2025-09-11T11:29:11.619761,google,success,,100g,,,,,,,,,
12,Lime Cordial,Sainsbury'S's,2025-09-11T11:29:12.927617,google,success,,100g,,,,,,,,,
13,Be Good to Yourself Mediterranean Vegetable Pasta,Sainsbury'S's,2025-09-11T11:29:14.842478,google,success,,100g,,,,,,,,,
14,Spring Onion,"Sainsbury'S's, By Sainsbury'S's",2025-09-11T11:29:20.403557,google,success,,100g,,,,,,,,,
30,Sausage Sarnie with Ketchup,Walkers,2025-09-11T11:29:22.268414,google,success,,100g,,,,,,,,,
34,Walkers Each 25G Serving Contains Fatturat Sugars,Walker Heinz,2025-09-11T11:29:23.932635,google,success,,100g,,,,,,,,,
38,Noix De Cajou Vrac,Biocoop,2025-09-11T11:29:25.765314,google,success,,100g,,,,,,,,,
39,Bio Te Verde,Lord Nelson,2025-09-11T11:29:27.207649,google,success,,100g,,,,,,,,,
40,Black Tea,"Tetley, American Power Products Inc.",2025-09-11T11:29:32.403589,google,success,,100g,,,,,,,,,
41,Mr Kipling 6 Chocolate and Caramel Bakewell Tarts,,2025-09-11T11:29:33.964217,google,success,,100g,,,,,,,,,
42,Sweet Mango Chutney,Sainsbury'S's,2025-09-11T11:29:35.771377,google,success,,100g,,,,,,,,,
45,Peach,Sainsbury'S's,2025-09-11T11:29:40.803238,google,success,,100g,,,,,,,,,
46,Premium Baked Beans in Ham Flavoured Sauce,"Corale, Aldi",2025-09-11T11:29:42.561276,google,success,,100g,,,,,,,,,
47,Fruit & Fibre,Morrisons,2025-09-11T11:29:43.926442,google,success,,100g,,,,,,,,,
6,Sea Bass,ASDA,2025-09-11T11:30:12.853355,google,success,,100g,,,,,,,,,
7,Cauliflower,"Sainsbury'S's, By Sainsbury'S's",2025-09-11T11:30:17.400444,google,success,,100g,,,,,,,,,
8,White Flute,,2025-09-11T11:30:19.047327,google,success,,100g,,,,,,,,,
10,Star Pasta,Sainsbury'S's’S,2025-09-11T11:30:20.635502,google,success,,100g,,,,,,,,,
13,Be Good to Yourself Mediterranean Vegetable Pasta,Sainsbury'S's,2025-09-11T11:30:22.447907,google,success,,100g,,,,,,,,,
14,Spring Onion,"Sainsbury'S's, By Sainsbury'S's",2025-09-11T11:30:30.564387,google,success,,100g,,,,,,,,,
30,Sausage Sarnie with Ketchup,Walkers,2025-09-11T11:30:32.884021,google,success,,100g,,,,,,,,,
34,Walkers Each 25G Serving Contains Fatturat Sugars,Walker Heinz,2025-09-11T11:30:34.469417,google,success,,100g,,,,,,,,,
38,Noix De Cajou Vrac,Biocoop,2025-09-11T11:30:35.985970,google,success,,100g,,,,,,,,,
40,Black Tea,"Tetley, American Power Products Inc.",2025-09-11T11:30:41.228810,google,success,,100g,,,,,,,,,
45,Peach,Sainsbury'S's,2025-09-11T11:30:43.827744,google,success,,100g,,,,,,,,,
46,Premium Baked Beans in Ham Flavoured Sauce,"Corale, Aldi",2025-09-11T11:30:46.027952,google,success,,100g,,,,,,,,,
48,Flat Leaf Parsley,"Cook With M & S, Marks & Spencer",2025-09-11T11:30:47.299399,google,success,,100g,,,,,,,,,
50,Melon and Pineapple,Tescos,2025-09-11T11:30:48.912428,google,success,,100g,,,,,,,,,
51,Double Choc Mini Bites,Marks & Spencer,2025-09-11T11:30:50.753667,google,success,,100g,,,,,,,,,
52,Tender Broad Beans,Sainsbury'S's,2025-09-11T11:30:52.240102,google,success,,100g,,,,,,,,,
54,House Blend Ground Coffee,Sainsbury'S's,2025-09-11T11:30:54.167361,google,success,,100g,,,,,,,,,
55,Ambrosia Apple,,2025-09-11T11:31:02.400663,google,success,,100g,,,,,,,,,
56,Huile De Lin Vierge,Biocoop,2025-09-11T11:31:05.003641,google,success,,100g,,,,,,,,,
60,Biocoop Lait Noisettes,Biocoop,2025-09-11T11:31:07.038561,google,success,,100g,,,,,,,,,
61,Pruneaux Micuits,Biocoop,2025-09-11T11:31:08.787921,google,success,,100g,,,,,,,,,
62,Eggo Waffles Gluten Free,Kellggs,2025-09-11T11:31:10.483036,google,success,,100g,,,,,,,,,
63,Chardonnay Colombard,Lidl,2025-09-11T11:31:12.071343,google,success,,100g,,,,,,,,,
64,Tree Ripened Papaya,"Sainsbury'S's, By Sainsbury'S's",2025-09-11T11:31:13.888859,google,success,,100g,,,,,,,,,
65,White Flute,Waitrose,2025-09-11T11:31:15.964812,google,success,,100g,,,,,,,,,
